                  relname                  | reltuples | relpages 
 pg_attrdef_adrelid_adnum_index            |        51 |        2
 pg_cast_source_target_index               |       219 |        2
 pg_constraint_oid_index                   |        56 |        2
 affiliate_book_id_key                     |        13 |        2
 pg_inherits_parent_index                  |         0 |        1
 pg_language                               |         4 |        1
 package_id_key                            |         0 |        1
 option                                    |        24 |        1
 feature                                   |         5 |        1
 email_seq                                 |         1 |        1
 pg_statistic_ext_relid_index              |         0 |        1
 pg_user_mapping_oid_index                 |         0 |        1
 feature_sidebar_item                      |        57 |        1
 pg_toast_13673_index                      |         0 |        1
 duration                                  |         6 |        1
 profile_teaching                          |        17 |        1
 pg_replication_origin_roiident_index      |         0 |        1
 company_type                              |         4 |        1
 pg_toast_5698030_index                    |         0 |        1
 pg_shseclabel_object_index                |         0 |        1
 pg_publication_pubname_index              |         0 |        1
 pg_toast_13658_index                      |         0 |        1
 pg_toast_88828_index                      |         0 |        1
 pg_transform_oid_index                    |         0 |        1
 pg_toast_88793_index                      |         0 |        1
 pg_toast_88365_index                      |         0 |        1
 pg_toast_2609_index                       |         0 |        1
 pg_toast_5697999_index                    |         0 |        1
 pg_foreign_data_wrapper_oid_index         |         0 |        1
 pg_toast_5698057_index                    |         0 |        1
 pg_toast_5695660_index                    |         0 |        1
 pg_seclabel_object_index                  |         0 |        1
 pg_db_role_setting_databaseid_rol_index   |         0 |        1
 pg_foreign_data_wrapper_name_index        |         0 |        1
 pg_toast_13653_index                      |         0 |        1
 pg_toast_88671_index                      |         0 |        1
 article_seq                               |         1 |        1
 pg_event_trigger_evtname_index            |         0 |        1
 pg_event_trigger_oid_index                |         0 |        1
 cv_seq                                    |         1 |        1
 pg_toast_88808_index                      |         0 |        1
 pg_foreign_server_oid_index               |         0 |        1
 pg_statistic_ext_oid_index                |         0 |        1
 pg_statistic_ext_name_index               |         0 |        1
 pg_policy_polrelid_polname_index          |         0 |        1
 image_slider                              |         2 |        1
 pg_toast_13643_index                      |         0 |        1
 listing_option                            |        54 |        1
 refdata_type                              |        28 |        1
 listing_rate                              |        54 |        1
 pg_toast_5697010_index                    |         0 |        1
 pg_toast_13648_index                      |         0 |        1
 pg_trigger                                |        40 |        1
 pg_toast_88318_index                      |         0 |        1
 category                                  |         9 |        1
 pg_enum_oid_index                         |         0 |        1
 pg_ts_parser                              |         1 |        1
 pg_toast_88562_index                      |         0 |        1
 pg_toast_13663_index                      |         0 |        1
 pg_toast_2396_index                       |         0 |        1
 affiliate_book                            |        13 |        1
 pg_toast_88745_index                      |         0 |        1
 affiliate_book_seq                        |         1 |        1
 pg_foreign_server_name_index              |         0 |        1
 pg_toast_2604_index                       |         0 |        1
 pg_enum_typid_label_index                 |         0 |        1
 pg_policy_oid_index                       |         0 |        1
 pg_transform_type_lang_index              |         0 |        1
 pg_subscription_rel_srrelid_srsubid_index |         0 |        1
 pg_toast_5698048_index                    |         0 |        1
 pg_toast_88488_index                      |         0 |        1
 company_seq                               |         1 |        1
 pg_toast_88438_index                      |         0 |        1
 pg_toast_3596_index                       |         0 |        1
 pg_toast_88511_index                      |         0 |        1
 pg_toast_88878_index                      |         0 |        1
 pg_toast_5698220_index                    |         0 |        1
 pg_toast_5698021_index                    |         0 |        1
 pg_toast_5697990_index                    |         0 |        1
 pg_subscription_subname_index             |         0 |        1
 pg_toast_13668_index                      |         0 |        1
 profile_courses_company_id_key            |         0 |        1
 pg_toast_2620_index                       |         0 |        1
 pg_subscription_oid_index                 |         0 |        1
 pg_toast_88287_index                      |         0 |        1
 pg_toast_88480_index                      |         0 |        1
 pg_inherits_relid_seqno_index             |         0 |        1
 pg_toast_88869_index                      |         0 |        1
 package_company_id_key                    |         0 |        1
 pg_publication_rel_oid_index              |         0 |        1
 hostelbooker_map                          |       119 |        1
 indexer                                   |         1 |        1
 affiliate_book_map                        |       123 |        1
 pg_publication_oid_index                  |         0 |        1
 pg_toast_88757_index                      |         0 |        1
 link_word                                 |        23 |        1
 image_seq                                 |         1 |        1
 event                                     |         3 |        1
 pg_toast_88852_index                      |         0 |        1
 pg_default_acl_role_nsp_obj_index         |         0 |        1
 pg_ts_config                              |        16 |        1
 sql_packages                              |        10 |        1
 pg_replication_origin_roname_index        |         0 |        1
 file_seq                                  |         1 |        1
 placement_seq                             |         1 |        1
 profile_quota_hist_seq                    |         1 |        1
 refdata_seq                               |         1 |        1
 review_seq                                |         1 |        1
 sales_enquiry_seq                         |         1 |        1
 state_id                                  |         1 |        1
 pg_ts_template                            |         5 |        1
 option_seq                                |         1 |        1
 camp_attended                             |        17 |        1
 event_seq                                 |         1 |        1
 news_seq                                  |         1 |        1
 pg_toast_1255_index                       |         0 |        1
 pg_toast_2964_index                       |         0 |        1
 pg_sequence                               |        25 |        1
 pg_toast_88454                            |         1 |        1
 pg_authid                                 |         8 |        1
 listing_seq                               |         1 |        1
 link_seq                                  |         1 |        1
 year                                      |        21 |        1
 pg_range                                  |         6 |        1
 pg_ts_dict                                |        16 |        1
 pg_toast_5625042_index                    |         0 |        1
 link_cat_seq                              |         1 |        1
 pg_am                                     |         6 |        1
 state                                     |        51 |        1
